StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex
0,,,,,Sol,Sol,0,0,0,-26.72,4.85,G2V,0.65
64,88,224834,9081,,   Tau Phe, ,0.01794397,-48.80985919,167.5041876,5.71,-0.410128344,G8III       ,0.911
77,107,224865,9082,,          , ,0.02225348,-50.33739907,171.2328767,5.53,-0.637935764,M2III       ,1.615
91,122,224889,9084,,   The Oct, ,0.02662528,-77.06529438,67.70480704,4.78,0.626902477,K2III       ,1.254
93,124,224893,9085,,          , ,0.02694969,61.22280406,1162.790698,5.58,-4.747507744,F0III       ,0.407
107,145,224926,9087,, 29    Psc, ,0.03039927,-3.02747891,125.3132832,5.13,-0.359985543,B7III-IV    ,-0.128
115,154,224935,9089,, 30    Psc, ,0.03266433,-6.01397169,127.2264631,4.37,-1.15288727,M3III       ,1.631
127,171,224930,9088,Gl 914  A, 85    Peg, ,0.03601251,27.08448905,12.40233164,5.81,5.342483299,G3V         ,0.69
138,183,224990,9091,,   Zet Scl, ,0.03886504,-29.72044805,156.25,5.04,-0.92910013,B4V         ,-0.15
147,194,225003,9093,, 32    Psc, ,0.04159929,8.48557854,37.69317753,5.7,2.81868625,F0V         ,0.315
158,207,225009,9094,,          , ,0.04335616,66.09896341,636.9426752,5.87,-3.150501738,G8III       ,1.073
222,301,225132,9098,,  2    Cet, ,0.06232565,-17.33597002,69.88120196,4.55,0.328198169,B9IVn       ,-0.047
245,330,225180,9100,,  9    Cas, ,0.07046214,62.2876646,1123.595506,5.9,-4.353049967,A1III       ,0.274
252,343,225197,9101,,          , ,0.07215592,-16.52888969,88.57395926,5.78,1.04346971,K0III       ,1.084
260,355,225212,9103,,  3    Cet, ,0.07503398,-10.50949443,492.6108374,4.99,-3.47251981,K3Ibvar     ,1.619
274,377,225253,9108,,          , ,0.07812589,-71.43685835,175.4385965,5.59,-0.630625722,B8III       ,-0.1
276,379,225216,9104,,          , ,0.07828819,67.16638761,97.08737864,5.68,0.744186124,K1III       ,1.051
308,418,225289,9110,,          , ,0.08503682,61.31396468,222.2222222,5.8,-0.933937431,B8MNp...    ,-0.067
327,443,28,3,, 33    Psc, ,0.08892938,-5.70783255,39.40110323,4.61,1.632458089,K1III       ,1.029
354,476,87,4,, 86    Peg, ,0.09498215,13.39628227,114.2857143,5.55,0.260040265,G5III       ,0.901
385,522,142,6,Gl   4.2A,          , ,0.10518422,-49.07509405,25.64102564,5.71,3.665323035,G1IV...     ,0.519
393,531,144,7,, 10    Cas, ,0.10736857,64.19616859,301.2048193,5.57,-1.824309581,B9III       ,-0.023
466,636,319,12,,          , ,0.12968212,-22.50847542,80.32128514,5.93,1.405846757,A1V         ,0.141
480,655,344,13,,          , ,0.13431035,-33.52933371,99.8003992,5.67,0.674338608,K1III       ,1.119
492,671,360,16,,          , ,0.13820907,-8.82402541,102.145046,5.99,0.943913459,G8III:      ,1.034
495,677,358,15,, 21Alp And,Alpheratz,0.13976888,29.09082805,29.76190476,2.07,-0.298303613,B9p         ,-0.038
