id,ra,dec
M31,7.442222,39.15889
M32,7.458889,38.75944
M33,20.15472,29.54028
M34,36.86028,41.65889
M45,53.45111,23.37806
M38,78.17,36.1975 
M1,80.00917,21.7575
M36,80.195,34.135
M42,80.99444,-5.568333
M43,81.05,-5.443611
M37,84.25333,32.1975
M35,88.66917,24.55833
M41,98.97,-20.55
M50,102.9578,-7.961667
M46,112.795,-14.31861
M47,116.0661,-14.83556
M48,120.6,-1.278333
M67,129.1158,12.61056
M65,166.8483,14.26889
M66,167.1942,14.20583
M40,182.7583,59.39722
M49,184.4494,9.269167
M58,186.6231,13.045
M68,186.9092,-25.50556
M59,187.6939,12.87667
M60,188.1147,12.76722
M64,191.4606,22.87528
M63,196.0917,43.21028
M51,200.0967,48.40667
M3,202.8553,29.54917
M5,226.6511,2.954444
M44,126.8417,20.52722
M4,242.2822,-25.92778
M13,248.2822,-25.92778
M12,248.7194,-1.507778
M10,251.2017,-3.705
M62,251.8067,-29.75833
M19,252.0292,-25.91278
M9,256.3433,-18.22389
M6,261.1775,-32.17611
M14,261.3081,-3.095833
M7,264.5067,-34.67611
M23,265.7139,-18.76528
M20,267.0681,-22.98611
M8,267.4917,-24.35278
M21,267.5264,-22.52361
M24,270.4333,-18.43333
M16,271.2508,-13.86222
M18,271.5675,-17.22056
M17,271.7633,-16.24556
M28,272.4917,-24.95306
M69,274.1961,-32.52917
M25,274.4167,-19.08333
M22,275.4775,-24.10306
M70,277.2211,-32.51861
M26,278.0903,-9.637222
M11,279.5953,-6.516944
M54,280.2153,-30.73361
M57,281.3356,32.7675
M61,182.7014,5.701389
M56,287.0003,29.80389
M55,291.5072,-31.44083
M53,195.5072,19.37889
M27,297.3614,22.06667
M29,303.9081,37.19917
M15,319.6719,10.6675
M2,320.2833,-1.783333
M39,320.9528,47.41667
M30,321.7717,-24.31778
M52,348.6575,60.37
